Brezposelni po trajanju iskanja dela po: BREZPOSELNI, SPOL, KOHEZIJSKA;;;;;;;;;;;;;;;;;;;;;;
REGIJA, LETO , MERITVE;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
 ; ; ;2008; ;2009; ;2010; ;2011; ;2012; ;2013; ;2014; ;2015; ;2016; ;2017; 
 ; ; ;Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %);Število (v 1000);Delež (v %)
Brezposelni - SKUPAJ;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ;;;;;;;;;;;;;;;;;;;;;
 ; ;Vzhodna Slovenija;29;100.0;38;100.0;43;100.0;49;100.0;54;100.0;60;100.0;60;100.0;55;100.0;46;100.0;37;100.0
 ; ;Zahodna Slovenija;17;100.0;24;100.0;32;100.0;34;100.0;36;100.0;42;100.0;39;100.0;36;100.0;33;100.0;31;100.0
;;;;;;;;;;;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;;;;;;;
e=7788 target=_blank) Metodološka pojasnila ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;;;;;;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;;;;;;;;;;;;;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;;;;;;;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 2. ;;;;;;;;;;;;;;;;;;;;;;
Podatki o spremembah posameznih kohezijskih regij so dostopni tudi na ;;;;;;;;;;;;;;;;;;;;;;
(seznam HREF=http://www.stat.si/dokument/8483 TARGET=_blank) povezavi.;;;;;;;;;;;;;;;;;;;;;;
