Indeksi gradbenih stroškov po: ČETRTLETJE , VRSTE GRADBENIH STROŠKOV;;;
;Gradbeni stroški - SKUPAJ;Stroški materiala;Stroški dela
2000Q1;56,2;55,8;56,9
2000Q2;54,7;57,5;50,9
2000Q3;60,1;58,9;61,7
2000Q4;59,8;61,4;57,7
2001Q1;63,8;65;62,1
2001Q2;62,6;66,4;57,6
2001Q3;65;66,7;62,8
2001Q4;64,6;66,6;62
2002Q1;65,3;67,3;63,1
2002Q2;65,1;67,7;62,2
2002Q3;67;68,1;65,8
2002Q4;67;68,6;65,4
2003Q1;68,8;69,1;68,4
2003Q2;71,8;69,6;74,9
2003Q3;70,3;69,9;71
2003Q4;69,6;70,3;68,7
2004Q1;75;71,6;79,7
2004Q2;73;74,5;70,2
2004Q3;76,1;75,9;75,9
2004Q4;77,5;77,5;77,2
2005Q1;78,9;79,2;78,1
2005Q2;77,7;80,2;73,6
2005Q3;78,9;80,2;76,7
2005Q4;80;80,8;78,3
2006Q1;81,4;81,2;81,6
2006Q2;81,3;82,1;80
2006Q3;85,1;83,9;86,7
2006Q4;87;85,4;89,2
2007Q1;88,2;87;89,1
2007Q2;87,5;88,5;84,7
2007Q3;90,9;89,4;92,3
2007Q4;91,4;90;92,8
2008Q1;93;90,8;95,3
2008Q2;95,7;93,5;97,9
2008Q3;96,7;95;98,1
2008Q4;96;92,9;99,8
2009Q1;92,4;89,3;96,5
2009Q2;90,8;87,7;95
2009Q3;94,3;88,6;102,9
2009Q4;92,1;89,6;95,1
2010Q1;98,1;90,4;108,7
2010Q2;95,6;94,3;97,5
2010Q3;98,9;94,8;104,5
2010Q4;98;95,6;101,3
2011Q1;105;98,1;114,8
2011Q2;100,9;99,3;102,8
2011Q3;103,5;99,8;108,6
2011Q4;99,1;99,2;98,4
2012Q1;103,6;99,1;110
2012Q2;100,3;100,8;99,3
2012Q3;101;100,3;101,8
2012Q4;98,7;100,1;96,6
2013Q1;102,7;100,5;105,5
2013Q2;98,5;100,1;95,8
2013Q3;100,4;99,8;100,9
2013Q4;97,7;99,3;94,8
2014Q1;100,5;99,1;102,2
2014Q2;98,5;99,1;97,4
2014Q3;99,3;100;98,1
2014Q4;98,9;100,3;96,6
2015Q1;101,3;100,6;102,3
2015Q2;99,6;100,7;98
2015Q3;100;100;99,9
2015Q4;99,1;98,6;99,8
2016Q1;98,2;98;98,8
2016Q2;96,9;98,4;95,1
2016Q3;98,5;98,8;98,4
2016Q4;101,7;99,5;104,8
2017Q1;103;101,3;105,6
2017Q2;100,5;102,2;98,8
2017Q3;104,1;102,2;107,1
2017Q4;106,5;103;111,5
2018Q1;104,2;104,1;104,3
2018Q2;106,4;104,4;108,7
2018Q3;108;105,3;111,3
2018Q4;106,5;104,2;109,3
Opombe: ;;;
Vir: Statistični urad Republike Slovenije.;;;
