"";"Regija";"X2011";"X2015"
"1";"SLOVENIJA";412;410
"2";"Ajdovščina";383,7;380
"3";"Ankaran/Ancarano";NA;580
"4";"Apače";400,1;396
"5";"Beltinci";339,3;341
"6";"Benedikt";402,9;399
"7";"Bistrica ob Sotli";449,2;449
"8";"Bled";449,2;442
"9";"Bloke";513,3;511
"10";"Bohinj";621,1;631
"11";"Borovnica";336,1;367
"12";"Bovec";826,8;832
"13";"Braslovče";385,7;376
"14";"Brda";415,1;409
"15";"Brezovica";367,6;349
"16";"Brežice";441,4;432
"17";"Cankova";432;433
"18";"Celje";432,3;430
"19";"Cerklje na Gorenjskem";362,6;359
"20";"Cerknica";409,9;395
"21";"Cerkno";423,7;425
"22";"Cerkvenjak";404,4;412
"23";"Cirkulane";652,5;637
"24";"Črenšovci";352,4;364
"25";"Črna na Koroškem";407,9;426
"26";"Črnomelj";398,1;405
"27";"Destrnik";399,3;407
"28";"Divača";497,8;486
"29";"Dobje";440,1;402
"30";"Dobrepolje";370;364
"31";"Dobrna";381,8;392
"32";"Dobrova - Polhov Gradec";353,3;345
"33";"Dobrovnik/Dobronak";450,9;458
"34";"Dol pri Ljubljani";382,9;363
"35";"Dolenjske Toplice";416;423
"36";"Domžale";360,6;353
"37";"Dornava";355,7;364
"38";"Dravograd";335,4;343
"39";"Duplek";375,7;374
"40";"Gorenja vas - Poljane";355,3;348
"41";"Gorišnica";335;345
"42";"Gorje";387,1;403
"43";"Gornja Radgona";413,8;417
"44";"Gornji Grad";367;369
"45";"Gornji Petrovci";522,6;535
"46";"Grad";409,8;414
"47";"Grosuplje";347,6;332
"48";"Hajdina";350,9;351
"49";"Hoče - Slivnica";386,6;385
"50";"Hodoš/Hodos";449,4;373
"51";"Horjul";324,9;320
"52";"Hrastnik";420,8;446
"53";"Hrpelje - Kozina";539,1;518
"54";"Idrija";418,7;412
"55";"Ig";382,4;368
"56";"Ilirska Bistrica";464,8;450
"57";"Ivančna Gorica";408,3;392
"58";"Izola/Isola";509,7;513
"59";"Jesenice";393,2;405
"60";"Jezersko";536,1;553
"61";"Juršinci";449;447
"62";"Kamnik";358,5;356
"63";"Kanal";468,2;478
"64";"Kidričevo";363;370
"65";"Kobarid";493,2;500
"66";"Kobilje";388,3;406
"67";"Kočevje";372,7;385
"68";"Komen";524,6;504
"69";"Komenda";359,4;332
"70";"Koper/Capodistria";462,4;447
"71";"Kostanjevica na Krki";431,8;415
"72";"Kostel";915,5;952
"73";"Kozje";453,1;455
"74";"Kranj";377;373
"75";"Kranjska Gora";709,9;728
"76";"Križevci";342,5;338
"77";"Krško";406,7;400
"78";"Kungota";408,9;415
"79";"Kuzma";418,1;410
"80";"Laško";414,2;417
"81";"Lenart";375,8;387
"82";"Lendava/Lendva";437,1;456
"83";"Litija";398,7;392
"84";"Ljubljana";447,2;442
"85";"Ljubno";389,5;385
"86";"Ljutomer";418,5;420
"87";"Log - Dragomer";332,6;333
"88";"Logatec";354,1;343
"89";"Loška dolina";362,4;360
"90";"Loški Potok";450,6;461
"91";"Lovrenc na Pohorju";393,5;393
"92";"Luče";395,3;400
"93";"Lukovica";340,8;324
"94";"Majšperk";449,2;461
"95";"Makole";465,5;465
"96";"Maribor";465,9;466
"97";"Markovci";331,2;334
"98";"Medvode";358,8;365
"99";"Mengeš";362,4;352
"100";"Metlika";400,4;401
"101";"Mežica";410,1;411
"102";"Miklavž na Dravskem polju";368,9;362
"103";"Miren - Kostanjevica";413,5;404
"104";"Mirna";NA;467
"105";"Mirna Peč";404,3;388
"106";"Mislinja";368,4;368
"107";"Mokronog - Trebelno";484,3;457
"108";"Moravče";358,4;342
"109";"Moravske Toplice";538;544
"110";"Mozirje";381,7;375
"111";"Murska Sobota";402;411
"112";"Muta";368;376
"113";"Naklo";306,6;305
"114";"Nazarje";370,6;363
"115";"Nova Gorica";416,4;418
"116";"Novo mesto";374,5;376
"117";"Odranci";295,3;304
"118";"Oplotnica";366,5;356
"119";"Ormož";409,8;415
"120";"Osilnica";636,8;650
"121";"Pesnica";374,4;374
"122";"Piran/Pirano";602,7;582
"123";"Pivka";459,1;440
"124";"Podčetrtek";529,6;571
"125";"Podlehnik";582,5;599
"126";"Podvelka";409,5;428
"127";"Poljčane";394,1;398
"128";"Polzela";361,4;357
"129";"Postojna";419,6;413
"130";"Prebold";412,3;403
"131";"Preddvor";363,3;365
"132";"Prevalje";362,5;367
"133";"Ptuj";411,5;422
"134";"Puconci";407,5;412
"135";"Rače - Fram";400,4;392
"136";"Radeče";426,5;434
"137";"Radenci";401;412
"138";"Radlje ob Dravi";341,9;349
"139";"Radovljica";376,3;382
"140";"Ravne na Koroškem";388,7;398
"141";"Razkrižje";362,9;366
"142";"Rečica ob Savinji";375,5;352
"143";"Renče - Vogrsko";366,6;367
"144";"Ribnica";360,3;361
"145";"Ribnica na Pohorju";453,7;474
"146";"Rogaška Slatina";387,8;382
"147";"Rogašovci";401;393
"148";"Rogatec";358,9;360
"149";"Ruše";413;431
"150";"Selnica ob Dravi";367,5;371
"151";"Semič";459,3;463
"152";"Sevnica";430;422
"153";"Sežana";453,5;446
"154";"Slovenj Gradec";356,1;357
"155";"Slovenska Bistrica";398,8;391
"156";"Slovenske Konjice";386,3;376
"157";"Sodražica";424,3;413
"158";"Solčava";477,8;468
"159";"Središče ob Dravi";377,9;395
"160";"Starše";360,6;364
"161";"Straža";361,6;359
"162";"Sveta Ana";360,6;363
"163";"Sveta Trojica v Slov. goricah";370,1;381
"164";"Sveti Andraž v Slov. goricah";357,1;373
"165";"Sveti Jurij ob Ščavnici";435,4;431
"166";"Sveti Jurij v Slov. goricah";376,1;362
"167";"Sveti Tomaž";423,4;436
"168";"Šalovci";503,8;532
"169";"Šempeter - Vrtojba";400,6;395
"170";"Šenčur";321,8;318
"171";"Šentilj";371,6;380
"172";"Šentjernej";381,9;367
"173";"Šentjur";391,3;383
"174";"Šentrupert";404,2;386
"175";"Škocjan";432,4;420
"176";"Škofja Loka";359,7;356
"177";"Škofljica";401,2;370
"178";"Šmarje pri Jelšah";414,4;407
"179";"Šmarješke Toplice";489,6;468
"180";"Šmartno ob Paki";380,3;372
"181";"Šmartno pri Litiji";363,9;360
"182";"Šoštanj";350,7;345
"183";"Štore";378;379
"184";"Tabor";400;388
"185";"Tišina";328,7;332
"186";"Tolmin";460,2;466
"187";"Trbovlje";439,4;456
"188";"Trebnje";411,5;401
"189";"Trnovska vas";346,7;366
"190";"Trzin";378;369
"191";"Tržič";382,3;389
"192";"Turnišče";321,3;330
"193";"Velenje";359,4;370
"194";"Velika Polana";348,8;359
"195";"Velike Lašče";447,7;443
"196";"Veržej";405,6;409
"197";"Videm";454,1;467
"198";"Vipava";422,5;396
"199";"Vitanje";392,7;381
"200";"Vodice";325,9;322
"201";"Vojnik";397,1;393
"202";"Vransko";370,9;365
"203";"Vrhnika";354,5;352
"204";"Vuzenica";349,6;353
"205";"Zagorje ob Savi";364,8;373
"206";"Zavrč";517,3;482
"207";"Zreče";406,1;409
"208";"Žalec";395,7;392
"209";"Železniki";331;326
"210";"Žetale";424,6;421
"211";"Žiri";337,8;347
"212";"Žirovnica";371,5;355
"213";"Žužemberk";475,3;464
